input_smile,is_patented,patent_cid,similar_smile_patent
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,True,4189.0,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl
Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,True,5318.0,C1=CC(=CC=C1CSC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl
CCC(=O)O,True,1032.0,CCC(=O)O
C/C=C/C/C=C/CCC(=O)[C@H]1O[C@H]1C(N)=O,True,5282054.0,CC=CCC=CCCC(=O)C1C(O1)C(=O)N
Cn1sc(Cl)cc1=O,True,33344.0,CN1C(=O)C=C(S1)Cl
O=S1(=O)CCN(CN2CCS(=O)(=O)NC2)CN1,True,29566.0,C1CS(=O)(=O)NCN1CN2CCS(=O)(=O)NC2
[Ag],True,23954.0,[Ag]
Cc1cc(N)c2ccccc2[n+]1CCCCCCCCCC[n+]1c(C)cc(N)c2ccccc21,True,10649.0,CC1=[N+](C2=CC=CC=C2C(=C1)N)CCCCCCCCCC[N+]3=C(C=C(C4=CC=CC=C43)N)C.[Cl-].[Cl-]
CC(C)(O)C(Cl)(Cl)Cl,True,5977.0,CC(C)(C(Cl)(Cl)Cl)O
CC(=O)N[C@H]1[C@H](O[C@H]2[C@@H](O)[C@@H](NC(C)=O)[C@H](O[C@H]3[C@H](O)[C@H]4N=C(N(C)C)O[C@H]4[C@@H]3CO)O[C@@H]2CO)O[C@H](CO)[C@@H](O)[C@H]1O,True,119339.0,CC(=O)NC1C(C(C(OC1OC2C(OC(C(C2O)NC(=O)C)OC3C(C4C(C3O)N=C(O4)N(C)C)CO)CO)CO)O)O
C[C@@H](c1nc(-c2ccc(C#N)cc2)cs1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,True,6918485.0,CC(C1=NC(=CS1)C2=CC=C(C=C2)C#N)C(CN3C=NC=N3)(C4=C(C=CC(=C4)F)F)O
[O-][n+]1ccccc1SSc1cccc[n+]1[O-],True,26041.0,C1=CC=[N+](C(=C1)[S-])[O-].C1=CC=[N+](C(=C1)[S-])[O-].[Zn+2]
[B],True,6331.0,B
Cc1ccc(Oc2ccccc2-c2csc(N=C3NCCCN3)n2)c(C)c1,True,159326.0,CC1=CC(=C(C=C1)OC2=CC=CC=C2C3=CSC(=N3)NC4=NCCCN4)C
