input_smile,is_patented,patent_cid,similar_smile_patent
O=C(OC(COc1ccccc1)Cn1ccnc1)c1ccccc1,True,2827372.0,COC1=CC=C(C=C1)C(=O)OC(CN2C=CN=C2)COC3=CC=CC=C3
c1ccc(COC(COc2ccccc2)Cn2ccnc2)cc1,True,803224.0,C1=CC=C(C=C1)COC2=CC=C(C=C2)OCCN3C=CN=C3
O=C1C=C(Nc2ccccc2)C(=O)c2c1[nH]c1ccccc21,True,127481.0,CC1=CC(=O)C2=C(C1=O)C3=CC=CC=C3N2
c1ccc(-c2cn3nc(N4CCNCC4)cc(-c4ccsc4)c3n2)cc1,True,6419824.0,C1=CC=C(C=C1)C2=CN=C3N2N=C(C=C3)NCC4=CC=CS4
C=C1C(=O)O[C@@H]2CC=CC[C@H]12,False,,
O=C(Nc1ccccc1)Nc1nnc(SCC(Cn2cncn2)c2ccccc2)s1,False,,
O=C(Nc1ccccc1)Nc1nnc(SCC(Cn2cncn2)c2ccccc2)s1,False,,
c1ccc(-c2nc(C3=N[C@@H](c4ccccc4)CO3)co2)cc1,False,,
O=C(Nc1ccccc1)c1cccc(-c2noc(-c3ccn[nH]3)n2)c1,False,,
O=c1cc(-c2ccns2)c2ccc(OCCNCC(Cn3cncn3)c3ccccc3)cc2o1,False,,
O=C(Cc1ccc(-c2ccccc2)cc1)O[C@H](Cn1ccnc1)c1ccccc1,True,24838998.0,C1=CC=C(C=C1)C2=CC=C(C=C2)C(CN3C=CN=C3)OC(=O)C4=CC=CC=C4
O=C(Cc1ccc(-c2ccccc2)cc1)NCC(Cn1ccnc1)c1ccccc1,True,74316232.0,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)NCCCN3C=CN=C3
O=c1[nH]nc(COc2cccc3cccnc23)n1-c1ccccc1,False,,
c1ccc(-c2ccccc2)cc1,True,7095.0,C1=CC=C(C=C1)C2=CC=CC=C2
C(#Cc1ccc(CNCC(Cn2cncn2)c2ccccc2)cc1)c1ccccc1,False,,
c1cncnc1,True,9260.0,C1=CN=CN=C1
O=C(N/N=C/c1ccccc1)c1ccc2nc(-c3ccccc3)[nH]c2c1,True,70152739.0,C1=CC=C(C=C1)C=CC2=NC3=C(C=CC=C3N2)C4=CC=NNC4=O
O=c1[nH][nH]cc1C(c1cn(-c2ccccc2)nn1)c1c[nH][nH]c1=O,False,,
O=C(COc1ccnc2ccccc12)NNc1ccccc1,False,,
C(#Cc1ccccc1)COCC(Cn1cncn1)c1ccccc1,False,,
O=C(CCC1CCCC1)c1cccoc1=O,False,,
O=C(Nc1ccccc1)C(c1ccccc1)N1CCNCC1,False,,
c1ccc2[nH]c(-c3nnco3)cc2c1,True,135912926.0,CC1=NN=C(O1)C2=CC3=CC=CC=C3N2
O=c1[nH]c(-c2ccccc2)nc2c1cnn2-c1ccccc1,True,714182.0,C1=CC=C(C=C1)CN2C=NC3=C(C2=O)C=NN3C4=CC=CC=C4
c1ccc([C@@H]2CC[C@H](c3ccccc3)O2)cc1,True,70175.0,C1CC(OC1)(C2=CC=CC=C2)C3=CC=CC=C3
O=C1/C(=C/c2ccccc2)CN(/C=C/c2ccccc2)C[C@@]12[C@@H](c1ccccc1)[C@H](Cc1ccccc1)N[C@]21C(=O)Nc2ccccc21,False,,
O=C(CSc1nnc2scc(-c3ccccc3)n12)Nc1ccc(N2CCNCC2)cc1,False,,
O=C(Cn1ccc2ccccc21)N1CCC(c2nc(C3=NOC(c4ccccc4)C3)cs2)CC1,False,,
C=C1C(=O)OC(c2cc3ccccc3s2)C1c1ccccc1,True,168869928.0,C=C1C(C(OC1=O)C2=CC(=CC=C2)F)C3=CC4=CC=CC=C4S3
c1ccc(Oc2cc(Sc3nc4ccccc4[nH]3)ncn2)cc1,False,,
c1ccc(C2CCN(CCCCc3ccc4c(c3)CCCCC4)CC2)cc1,True,19878378.0,C1CCN(CC1)CCCC2=C3CCC4=CC=C(CCC(=C2)C=C3)C=C4
O=C(/C=C/c1ccccc1)O/N=C/c1ccccc1,False,,
O=c1c(C2NN=CS2=O)coc2ccccc12,False,,
O=C1NC=C(C(=O)N/N=C/C(=O)c2ccccc2)C(c2ccccc2)N1,False,,
O=S(=O)(N[C@H](c1ccccc1)[C@H](NC(=S)NCc1ccccc1)c1ccccc1)c1ccccc1,False,,
S=C(NCc1ccccc1)N[C@H](c1ccccc1)[C@H](NCc1c[nH]c2ccccc12)c1ccccc1,False,,
O=C1C=CC(=O)c2ccccc21,True,8530.0,C1=CC=C2C(=O)C=CC(=O)C2=C1
c1ccc(-c2nc3ccccc3s2)c(OCCn2cc(COc3cccc4cccnc34)nn2)c1,False,,
c1nn2cnnc2s1,True,418344.0,C1=NN=C2N1N=CS2
c1ccc(-c2ccccc2)cc1,True,7095.0,C1=CC=C(C=C1)C2=CC=CC=C2
O=C(/C=C/c1ccccc1)Nc1c(C2=NCCO2)cnn1-c1ccccc1,True,166068144.0,C1COC(=N1)C2=C(N(N=C2)C3=CC=C(C=C3)F)NC(=O)C=CC4=CC=C(C=C4)F
c1cncnc1,True,9260.0,C1=CN=CN=C1
O=S(=O)(N[C@H](c1ccccc1)[C@H](NC(=S)NCc1ccccc1)c1ccccc1)c1ccccc1,False,,
O=C1C[C@@H](c2ccccc2)Oc2c1ccc1c2C=CCO1,True,2825024.0,COC1=CC2=C(C=C1)C(=O)CC(O2)C3=CC=CC=C3
O=C(NC1CCS(=O)(=O)C1)c1ccc(-n2nc(-c3ccccc3)nc2-c2ccccc2)cc1,False,,
c1cscn1,True,9256.0,C1=CSC=N1
O=C(Cc1cccc(C(=O)c2ccccc2)c1)NCC(Cn1cncn1)c1ccccc1,False,,
O=C(OC1CCNC(=O)c2ccoc21)c1ccsc1,False,,
S=C(NCc1ccccc1)N[C@@H](Cc1ccccc1)c1ccccc1,True,2828021.0,CC(C)NC(=S)NC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3
N=C(C(=O)Nc1ccccc1C1=NCCO1)c1ccco1,False,,
c1ccc(-c2ncc(-c3nnc(NC4CCCCC4)o3)s2)cc1,False,,
O=C(/C=C/c1ccccc1)Nc1c(C2=NCCO2)cnn1-c1ccccc1,True,166068144.0,C1COC(=N1)C2=C(N(N=C2)C3=CC=C(C=C3)F)NC(=O)C=CC4=CC=C(C=C4)F
N=C1c2ccsc2C(=O)c2cnoc21,False,,
O=S(=O)(Nc1ccc2c(c1)C1ON=C(c3ccccc3)C1O2)c1ccccc1,False,,
O=C(Nc1ccc(N2CCN(c3ncccn3)CC2)cc1)C(=O)c1[nH]ccc1-c1ccccc1,True,10159392.0,C1CN(CCN1C2=CC=CC=C2)C(=O)C3=CC(=CN3)C4=NC(=NC=C4C5=CC=CC=C5)N
O=C(Nc1ccccc1)c1ccc(N2CCN(c3ccc(OC[C@@H]4CO[C@@](Cn5cncn5)(c5ccccc5)C4)cc3)CC2)cc1,True,121383526.0,CC1=C(C=CC(=C1)N2CCN(CC2)C3=CC=C(C=C3)C(=O)NC4=CC=C(C=C4)F)OCC5CC(OC5)(CN6C=NC=N6)C7=C(C=C(C=C7)F)F
O=C1CCCCCCCCCCCC2CCCC(CC(O[C@@H]3CCCCO3)/C=C/C=C/C=C/C=C/CC/C=C/C=C/CCCCO1)O2,False,,
C(=C/c1ccccc1)\CNCc1cccc2ccccc12,True,10360469.0,C1=CC=C2C(=C1)C=C3C=CC=CC3=C2CNCCCCNCCCCN
O=C1CCCCCCCCCCCC2CCC[C@H](C[C@@H](O[C@@H]3CCCCO3)/C=C/C=C/C=C/C=C/CC/C=C/C=C/CCCCO1)O2,False,,
c1ccc(OCCCCCOc2ccccc2)cc1,True,221769.0,C1=CC=C(C=C1)OCCOCCOC2=CC=CC=C2
O=C1CCCCCCCCCCCC2CCC[C@H](C[C@@H](O[C@H]3CCCCO3)/C=C/C=C/C=C/C=C/CC/C=C/C=C/CCCCO1)O2,False,,
O=C1CC(CC[C@@H]2CCCCC2=O)CC(=O)N1,True,21295236.0,CC1CC(C(=O)C(C1)CCC2CC(=O)NC(=O)C2)C
S=c1cccc[nH]1,True,2723698.0,C1=CC(=S)NC=C1
C(=C1SCC(c2ccccc2)S1)n1ccnc1,True,13605970.0,C1C(SC(=C(C#N)N2C=CN=C2)S1)C3=CC=CC=C3
S=C(Nc1ccccn1)Oc1ccc2c(c1)CCCC2,False,,
O=C1CCCCCCCCCCCC2CCCC(C[C@@H](O[C@@H]3CCCCO3)/C=C/C=C/C=C/C=C/CC/C=C/C=C/CCCCO1)O2,False,,
O=C1CCCCCCCCCCCC2CCC[C@H](C[C@@H](O[C@H]3CCCCO3)/C=C/C=C/C=C/C=C/CC/C=C/C=C/CCCCO1)O2,False,,
O=C1CCCCCCCCCCCC2CCCC(CC(OC3CCCCO3)C=CC=CC=CC=CCCC=CC=CCCCCO1)O2,False,,
O=C1CCCCCCCCCCCC2CCCC(C[C@@H](O[C@@H]3CCCCO3)C=CC=CC=CC=CCCC=CC=CCCCCO1)O2,False,,
c1ccc([C@@]2(Cn3ccnc3)OC[C@H](COc3ccc(N4CCNCC4)cc3)O2)cc1,True,142007734.0,C1CN(CCN1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)F)F
O=C1CCCCCCCCCCCC2CCCC(CC(OC3CCCCO3)/C=C/C=C/C=C/C=C/CC/C=C/C=C/CCCCO1)O2,False,,
c1ccccc1,True,241.0,C1=CC=CC=C1
